Lat Lon emi_CO[kg/m2/s]
43.85 11.85 3.0935525408698483e-12
43.85 11.95 1.2534027982180618e-10
43.85 12.05 6.817985065410426e-11
43.85 12.15 2.4201040477178637e-11
43.85 12.25 1.8844374671811437e-10
43.85 12.65 2.6667232311261557e-10
43.95 11.75 3.7633767629996484e-11
43.95 11.85 4.1827052238430085e-11
43.95 11.95 1.0314914894449245e-10
43.95 12.05 1.8550019159624398e-11
43.95 12.15 1.7364400195507557e-10
43.95 12.25 1.4091136590899112e-10
43.95 12.35 1.6365583888067192e-10
43.95 12.55 3.9397252127315596e-10
43.95 12.65 7.757336994984598e-10
44.05 11.75 5.483684686891088e-11
44.05 11.85 8.839065590571238e-11
44.05 11.95 1.5738112202345889e-10
44.05 12.05 9.930362782073487e-11
44.05 12.15 2.397131382281259e-10
44.05 12.25 1.6807240321714545e-10
44.05 12.35 3.571666296053877e-10
44.05 12.45 5.997833341098158e-10
44.05 12.55 5.620804932604528e-10
44.15 10.55 3.609598037135342e-11
44.15 10.75 5.349391068998344e-11
44.15 10.85 6.091616794323684e-11
44.15 10.95 1.581266922956459e-10
44.15 11.05 8.846996746303404e-11
44.15 11.15 1.1772334496118475e-10
44.15 11.65 4.6955373617096896e-11
44.15 11.75 1.1917428155427956e-10
44.15 11.85 1.0282929369109794e-10
44.15 11.95 2.2175003500102264e-10
44.15 12.05 3.7423469878561377e-10
44.15 12.15 4.4804010501664493e-10
44.15 12.25 7.656723588489456e-10
44.15 12.35 6.725373591365269e-10
44.15 12.45 3.2313424158658677e-10
44.25 10.45 4.237709141929891e-11
44.25 10.55 7.576320126823077e-11
44.25 10.65 1.1185998655127705e-10
44.25 10.75 1.997266935171993e-10
44.25 10.85 8.781538690660895e-11
44.25 10.95 1.397502391586869e-10
44.25 11.05 1.2039734487157006e-10
44.25 11.15 1.5382176088429844e-10
44.25 11.25 1.529427695601271e-10
44.25 11.35 2.0463022942784903e-10
44.25 11.45 7.484662889467586e-11
44.25 11.55 1.713067881992103e-10
44.25 11.65 1.5613539627867823e-10
44.25 11.75 2.823154487963109e-10
44.25 11.85 2.388319264579053e-10
44.25 11.95 2.9417598912395704e-10
44.25 12.05 6.640736849305995e-10
44.25 12.15 3.858871833184452e-10
44.25 12.25 3.3919092534695494e-10
44.25 12.35 2.651013852883466e-10
44.35 10.15 4.797284097746157e-11
44.35 10.25 4.250471849487347e-11
44.35 10.35 7.183786204789655e-11
44.35 10.45 8.63762880665142e-11
44.35 10.55 1.0471815775625615e-10
44.35 10.65 1.4588998065168113e-10
44.35 10.75 1.8398088608151397e-10
44.35 10.85 2.814871946643649e-10
44.35 10.95 1.4919025737025748e-10
44.35 11.05 1.2824030726221736e-10
44.35 11.15 1.1790700360503337e-10
44.35 11.25 2.7885949105410646e-10
44.35 11.35 2.0611883033705425e-10
44.35 11.45 1.1047119469198563e-10
44.35 11.55 1.2503328927770951e-10
44.35 11.65 4.480420201513624e-10
44.35 11.75 3.204443099757981e-10
44.35 11.85 4.392265162689313e-10
44.35 11.95 3.452289842886813e-10
44.35 12.05 2.802168774795888e-10
